,name,url,promoted_content,query,tweet_volume
0,#LangitSenjaKita,http://twitter.com/search?q=%23LangitSenjaKita,,%23LangitSenjaKita,
1,#JinggaDanSenja,http://twitter.com/search?q=%23JinggaDanSenja,,%23JinggaDanSenja,
2,#PTD_ON_STAGE_LA_Day4,http://twitter.com/search?q=%23PTD_ON_STAGE_LA_Day4,,%23PTD_ON_STAGE_LA_Day4,158651.0
3,#LAHeartsJin,http://twitter.com/search?q=%23LAHeartsJin,,%23LAHeartsJin,51558.0
4,Jangan Abaikan Prokes,http://twitter.com/search?q=%22Jangan+Abaikan+Prokes%22,,%22Jangan+Abaikan+Prokes%22,
5,Sosialisasi Edukasi Cyber,http://twitter.com/search?q=%22Sosialisasi+Edukasi+Cyber%22,,%22Sosialisasi+Edukasi+Cyber%22,10517.0
6,3 Desember,http://twitter.com/search?q=%223+Desember%22,,%223+Desember%22,11530.0
7,3rd of December,http://twitter.com/search?q=%223rd+of+December%22,,%223rd+of+December%22,37426.0
8,GreyAp,http://twitter.com/search?q=GreyAp,,GreyAp,
9,Black Swan,http://twitter.com/search?q=%22Black+Swan%22,,%22Black+Swan%22,85202.0
10,HAPPY 100M SEVENTEEN'S CLAP,http://twitter.com/search?q=%22HAPPY+100M+SEVENTEEN%27S+CLAP%22,,%22HAPPY+100M+SEVENTEEN%27S+CLAP%22,12499.0
11,FAKE LOVE,http://twitter.com/search?q=%22FAKE+LOVE%22,,%22FAKE+LOVE%22,41560.0
12,seokjin,http://twitter.com/search?q=seokjin,,seokjin,558839.0
13,KAVIN'S BIRTHDAY,http://twitter.com/search?q=%22KAVIN%27S+BIRTHDAY%22,,%22KAVIN%27S+BIRTHDAY%22,36818.0
14,SO WHAT,http://twitter.com/search?q=%22SO+WHAT%22,,%22SO+WHAT%22,551284.0
15,Carrick,http://twitter.com/search?q=Carrick,,Carrick,121405.0
16,Inklusif,http://twitter.com/search?q=Inklusif,,Inklusif,
17,Arsenal,http://twitter.com/search?q=Arsenal,,Arsenal,348226.0
18,Kuy Berislam Kaffah,http://twitter.com/search?q=%22Kuy+Berislam+Kaffah%22,,%22Kuy+Berislam+Kaffah%22,
19,Heather,http://twitter.com/search?q=Heather,,Heather,25051.0
20,SEVENTEEN SINGER OF THE YEAR,http://twitter.com/search?q=%22SEVENTEEN+SINGER+OF+THE+YEAR%22,,%22SEVENTEEN+SINGER+OF+THE+YEAR%22,112098.0
21,bu risma,http://twitter.com/search?q=%22bu+risma%22,,%22bu+risma%22,14157.0
22,Auba,http://twitter.com/search?q=Auba,,Auba,37107.0
23,Worldwide Fans,http://twitter.com/search?q=%22Worldwide+Fans%22,,%22Worldwide+Fans%22,243378.0
24,De Gea,http://twitter.com/search?q=%22De+Gea%22,,%22De+Gea%22,49072.0
25,Choice Top 10,http://twitter.com/search?q=%22Choice+Top+10%22,,%22Choice+Top+10%22,234490.0
26,#JumatBerkah,http://twitter.com/search?q=%23JumatBerkah,,%23JumatBerkah,10520.0
27,#MoonForJinLA,http://twitter.com/search?q=%23MoonForJinLA,,%23MoonForJinLA,44304.0
28,#PolriTegakkanHukum,http://twitter.com/search?q=%23PolriTegakkanHukum,,%23PolriTegakkanHukum,12124.0
29,#PSSday,http://twitter.com/search?q=%23PSSday,,%23PSSday,
30,#CLAP100MillionViews,http://twitter.com/search?q=%23CLAP100MillionViews,,%23CLAP100MillionViews,56408.0
31,#SolChicks,http://twitter.com/search?q=%23SolChicks,,%23SolChicks,
32,#CLAP100MViews,http://twitter.com/search?q=%23CLAP100MViews,,%23CLAP100MViews,58128.0
33,#haridisabilitasinternasional,http://twitter.com/search?q=%23haridisabilitasinternasional,,%23haridisabilitasinternasional,
34,#HBDF4Kavin,http://twitter.com/search?q=%23HBDF4Kavin,,%23HBDF4Kavin,38975.0
35,#GanyangSemarang,http://twitter.com/search?q=%23GanyangSemarang,,%23GanyangSemarang,
36,#PenggadaiNegeri,http://twitter.com/search?q=%23PenggadaiNegeri,,%23PenggadaiNegeri,
37,#BTSPermissionToDanceOnStageLA,http://twitter.com/search?q=%23BTSPermissionToDanceOnStageLA,,%23BTSPermissionToDanceOnStageLA,50368.0
38,#TKOSummit2021,http://twitter.com/search?q=%23TKOSummit2021,,%23TKOSummit2021,
39,#10YearsOf5SOS,http://twitter.com/search?q=%2310YearsOf5SOS,,%2310YearsOf5SOS,38481.0
40,#Dreamboat,http://twitter.com/search?q=%23Dreamboat,,%23Dreamboat,
41,#justiceforlaura,http://twitter.com/search?q=%23justiceforlaura,,%23justiceforlaura,
42,#BRIGHTWINxAAA2021,http://twitter.com/search?q=%23BRIGHTWINxAAA2021,,%23BRIGHTWINxAAA2021,122525.0
43,#SemangatDakwahkanIslam,http://twitter.com/search?q=%23SemangatDakwahkanIslam,,%23SemangatDakwahkanIslam,
44,#SyariatIslamYangUtama,http://twitter.com/search?q=%23SyariatIslamYangUtama,,%23SyariatIslamYangUtama,
45,#HariAhokNasional,http://twitter.com/search?q=%23HariAhokNasional,,%23HariAhokNasional,11606.0
46,#8yearsWithJeno,http://twitter.com/search?q=%238yearsWithJeno,,%238yearsWithJeno,81262.0
47,#MUFC,http://twitter.com/search?q=%23MUFC,,%23MUFC,246802.0
48,#8YearsWithTaeyong,http://twitter.com/search?q=%238YearsWithTaeyong,,%238YearsWithTaeyong,65010.0
